tag,step,wall_time,value
loss/val_norm_var/thetao,35,1782893548.5629432,0.0010310009820386767
loss/val_norm_var/uo,35,1782893548.6085486,0.004611416719853878
loss/val_norm_var/vo,35,1782893548.633391,0.0048509337939321995
loss/val_norm_var/zos,35,1782893548.5362785,0.001694357837550342
loss/val_var/siconc,35,1782893548.4341424,0.0026142040733247995
loss/val_var/sithick,35,1782893548.5021625,0.000515907013323158
loss/val_var/so,35,1782893548.5806062,0.0002821564849000424
loss/val_var/thetao,35,1782893548.5592349,0.0010310009820386767
loss/val_var/uo,35,1782893548.604954,0.004611416719853878
loss/val_var/vo,35,1782893548.6297762,0.0048509337939321995
loss/val_var/zos,35,1782893548.5322473,0.001694357837550342
loss/train,36,1782893989.9815965,0.0010632943594828248
loss/train,37,1782894885.0843625,0.001058329246006906
loss/train,38,1782895328.130264,0.0010539788054302335
loss/train,39,1782895766.9984212,0.0010495202150195837
loss/ema_val,40,1782896300.6770368,0.0010628860909491777
loss/ema_val_denorm,40,1782896300.677042,0.01380282361060381
loss/train,40,1782896205.0756102,0.0010463068028911948
loss/val,40,1782896300.6769412,0.0010818341979756951
loss/val_denorm,40,1782896300.6770313,0.013954093679785728
loss/val_denorm_lead/lead_01,40,1782896300.6770573,0.013954093679785728
loss/val_denorm_lead_var/siconc/lead_01,40,1782896300.6993725,0.002617821330204606
